Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option2 name,Option2 value,Option3 name,Option3 value,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Inventory policy,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
YA SUBIRÉ EL NUEVO STOCK! ENTREGA INMEDIATA HOY! IGUAL PUEDEN ESCRIBIRME AL WHAT SAAP! (33 17 22 84 58 @everyone 🐣,,YA SUBIRÉ EL NUEVO STOCK! ENTREGA INMEDIATA HOY! IGUAL PUEDEN ESCRIBIRME AL WHAT SAAP! (33 17 22 84 58 @everyone 🐣,TENGOFE,Fortnite,,Fortnite,TRUE,active,,,,,,,,,,,,TRUE,,,,,,,,continue,,,FALSE,manual,https://cdn.discordapp.com/attachments/1389358951480561745/1400946595603808307/IMG_2220.png?ex=69237630&is=692224b0&hm=bd0eb6182f609793d8c5e4913b8d7f54e10d4b0042acfa3ae016beddb7a2e7dd&,11,,,FALSE,,,,,,,,,,,,,,,
SI QUIEREN COMPRAR ALGO PUEDEN ENVIARME WHAT SAAP! (33 17 22 84 58) SOY GERENTE D TENGOFE @everyone,,SI QUIEREN COMPRAR ALGO PUEDEN ENVIARME WHAT SAAP! (33 17 22 84 58) SOY GERENTE D TENGOFE @everyone,TENGOFE,Fortnite,,Fortnite,TRUE,active,,,,,,,,,,,,TRUE,,,,,,,,continue,,,FALSE,manual,https://cdn.discordapp.com/attachments/1389358951480561745/1400219467975360594/IMG_1754.png?ex=692373ff&is=6922227f&hm=4944883acd7d9718170a384d1ee74c45ab1797d26c9f1bfea5e2944dcee87459&,12,,,FALSE,,,,,,,,,,,,,,,
YA SUBIRÉ EL NUEVO STOCK D FOLNAI! SI QUIEREN COMPRAR IGUAL ATIENDO POR WHAT SAAP! (33 17 22 84 58) @everyone,,YA SUBIRÉ EL NUEVO STOCK D FOLNAI! SI QUIEREN COMPRAR IGUAL ATIENDO POR WHAT SAAP! (33 17 22 84 58) @everyone,TENGOFE,Fortnite,,Fortnite,TRUE,active,,,,,,,,,,,,TRUE,,,,,,,,continue,,,FALSE,manual,https://cdn.discordapp.com/attachments/1389358951480561745/1399144804939731096/IMG_1395.png?ex=69237fa4&is=69222e24&hm=0867ab67ec253c3b7ca4d46a07668d3a939cb08addfb4df446f4c46007a000b6&,13,,,FALSE,,,,,,,,,,,,,,,
YA SUBIRÉ EL NUEVO STOCK! SI QUIEREN COMPRAR ME ENVÍAN WHAT SAAP (33 17 22 84 58) @everyone 💗,,YA SUBIRÉ EL NUEVO STOCK! SI QUIEREN COMPRAR ME ENVÍAN WHAT SAAP (33 17 22 84 58) @everyone 💗,TENGOFE,Fortnite,,Fortnite,TRUE,active,,,,,,,,,,,,TRUE,,,,,,,,continue,,,FALSE,manual,https://cdn.discordapp.com/attachments/1389358951480561745/1398777418382180472/IMG_1143.png?ex=69237afc&is=6922297c&hm=0591b869972d3ebcda4348719dea9076d379a0316a75afc2f57255dfbf03732e&,14,,,FALSE,,,,,,,,,,,,,,,
SUBIRE EL NUEVO STOCK FORNAI! TODO EL DÍA PODRÁS ADQUIRIR UNA CUENTA! (único server) @everyone,,SUBIRE EL NUEVO STOCK FORNAI! TODO EL DÍA PODRÁS ADQUIRIR UNA CUENTA! (único server) @everyone,TENGOFE,Fortnite,,Fortnite,TRUE,active,,,,,,,,,,,,TRUE,,,,,,,,continue,,,FALSE,manual,https://cdn.discordapp.com/attachments/1389358951480561745/1393297753412599820/image.png?ex=69235226&is=692200a6&hm=380c780e15644636356dc515fcb34478eed30e37604fef3a573b62c87406a60c&,15,,,FALSE,,,,,,,,,,,,,,,
83 FREE FIRE! CUENTA CON 4 EVOS A BUEN NIVEL! MP40 AZUL! GUARDIA GLACIAL! NARUTO! mp40 Y UMO DE INCUBADORA! BUENA PARA EMPEZAR! @everyone (899mx) REGION: EEUU,,83 FREE FIRE! CUENTA CON 4 EVOS A BUEN NIVEL! MP40 AZUL! GUARDIA GLACIAL! NARUTO! mp40 Y UMO DE INCUBADORA! BUENA PARA EMPEZAR! @everyone (899mx) REGION: EEUU,TENGOFE,Free Fire,,Free Fire,TRUE,active,,,,,,,,,899,,,TRUE,,,,,,,,continue,,,FALSE,manual,https://cdn.discordapp.com/attachments/1393294587409334322/1441895625128939691/image.png?ex=69237572&is=692223f2&hm=3e385b4ae42e5bff29cf440c1da4b65cac0d126647fbf6f00ce8066affcb9e14&,16,,,FALSE,,,,,,,,,,,,,,,
81 FREE FIRE! CUENTA CON 5 EVOS A UN NIVEL PERFECTO PARA EMPEZAR! YING YANG GRIS! BASTANTE ROPA BUENA! CAMISAS DE FUTBOL! (999mx) @everyone REGIÓN: EEUU,,81 FREE FIRE! CUENTA CON 5 EVOS A UN NIVEL PERFECTO PARA EMPEZAR! YING YANG GRIS! BASTANTE ROPA BUENA! CAMISAS DE FUTBOL! (999mx) @everyone REGIÓN: EEUU,TENGOFE,Free Fire,,Free Fire,TRUE,active,,,,,,,,,999,,,TRUE,,,,,,,,continue,,,FALSE,manual,https://cdn.discordapp.com/attachments/1393294587409334322/1441895532900389095/image.png?ex=6923755c&is=692223dc&hm=aadbf55d8746d27c0d04b5498a92a56be23ef28069f1b1ba0154b79d3dc5aab3&,17,,,FALSE,,,,,,,,,,,,,,,
60 FREE FIRE! CUENTA CON 13 EVOS! M1014 A NIVEL FULL! YING YANG DORADO Y AZUL! TODOS LOS BLUELOCK! BARBA DEL VIEJO! YING YANG GRiS! REGIÓN: SUDAMÉRICA (1799mx) @everyone,,60 FREE FIRE! CUENTA CON 13 EVOS! M1014 A NIVEL FULL! YING YANG DORADO Y AZUL! TODOS LOS BLUELOCK! BARBA DEL VIEJO! YING YANG GRiS! REGIÓN: SUDAMÉRICA (1799mx) @everyone,TENGOFE,Free Fire,,Free Fire,TRUE,active,,,,,,,,,1799,,,TRUE,,,,,,,,continue,,,FALSE,manual,https://cdn.discordapp.com/attachments/1393294587409334322/1441894278539509812/image.png?ex=69237431&is=692222b1&hm=954d1bc0698c0231c6017e9386bf78329e1e77dbe9b2fbe8859dffd23e5daf9a&,18,,,FALSE,,,,,,,,,,,,,,,
051 CUENTA DE FREE FIRE MINI GRIAL!! TIENE TODAS LAS EVOLUTIVAS OMG!! TIENE UNA A NIVEL MAXIMO Y EL RESTO A SUPER BUEN NIVEL DEL 5 PARA BAJO!! TIENE 431 PECHOS  CONJUNTO DE ORION  CUELLO TORTUGA NEGRO  TRAJE CON CORBATA  CAMISAS DE FUTBOL  TRAJE DE DANDE DE LA COLABORACION DEVIL MAYCRY  CUERNITOS AZULES  5 DINOS  TUNG TUNG SAHUR  CONJUNTO DE CONEJO DE FUEGO Y DEMASIADA BUENA ROPA!! REGION EEUU (1999mx) 🔥,,051 CUENTA DE FREE FIRE MINI GRIAL!! TIENE TODAS LAS EVOLUTIVAS OMG!! TIENE UNA A NIVEL MAXIMO Y EL RESTO A SUPER BUEN NIVEL DEL 5 PARA BAJO!! TIENE 431 PECHOS  CONJUNTO DE ORION  CUELLO TORTUGA NEGRO  TRAJE CON CORBATA  CAMISAS DE FUTBOL  TRAJE DE DANDE DE LA COLABORACION DEVIL MAYCRY  CUERNITOS AZULES  5 DINOS  TUNG TUNG SAHUR  CONJUNTO DE CONEJO DE FUEGO Y DEMASIADA BUENA ROPA!! REGION EEUU (1999mx) 🔥  @everyone,TENGOFE,Free Fire,,Free Fire,TRUE,active,,,,,,,,,1999,,,TRUE,,,,,,,,continue,,,FALSE,manual,https://cdn.discordapp.com/attachments/1393294587409334322/1441894095516729504/image.png?ex=69237405&is=69222285&hm=6a64e9b0638a3cb812e851ba61d24748aa61442324cfc45d72f663b735afcd98&,19,,,FALSE,,,,,,,,,,,,,,,
069 CUENTA DE FREE FIRE CON 12 EVOLUTIVAS A SÚPER BUEN NIVEL!! UNA A NIVEL 6 Y EL RESTO POR DEBAJO DEL NIVEL 5. TIENE MÁS DE 380 PECHOS MUY PEDIDOS CUELLO TORTUGA  BARBA DEL VIEJO  SKATER NOCTURNO  CAMISAS DE FUTBOL Y DE LA FFLS  CAMISETAS DE ORO VETERANAS  MUCHOS PASES Y COLABORACIONES!! REGIÓN: EEUU (1899mx) @everyone,,069 CUENTA DE FREE FIRE CON 12 EVOLUTIVAS A SÚPER BUEN NIVEL!! UNA A NIVEL 6 Y EL RESTO POR DEBAJO DEL NIVEL 5. TIENE MÁS DE 380 PECHOS MUY PEDIDOS CUELLO TORTUGA  BARBA DEL VIEJO  SKATER NOCTURNO  CAMISAS DE FUTBOL Y DE LA FFLS  CAMISETAS DE ORO VETERANAS  MUCHOS PASES Y COLABORACIONES!! REGIÓN: EEUU (1899mx) @everyone,TENGOFE,Free Fire,,Free Fire,TRUE,active,,,,,,,,,1899,,,TRUE,,,,,,,,continue,,,FALSE,manual,https://cdn.discordapp.com/attachments/1393294587409334322/1441893973227737128/image.png?ex=692373e8&is=69222268&hm=07c830e2170d12a07bdc6bb0ca4b136c7206bff6bf92e4fec87769299b03c12d&,20,,,FALSE,,,,,,,,,,,,,,,
